id,claim,label,evidence,predicted_label,latency_seconds,decomposition_traces
226034,Tetris has sold millions of physical copies.,SUPPORTS,"[[[269479, 265800, 'Tetris', 18]]]",REFUTES,20.97685217857361,"[{""sub"": ""Tetris has sold millions of physical copies."", ""label"": ""REFUTES"", ""query"": ""Tetris sales figures""}]"
40190,Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,SUPPORTS,"[[[56492, 66697, 'Cyndi_Lauper', 2]]]",SUPPORTS,20.728007078170776,"[{""sub"": ""Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985."", ""label"": ""SUPPORTS"", ""query"": ""Cyndi Lauper 27th Grammy Awards winner Best New Artist 1985""}]"
76253,There is a movie called The Hunger Games.,SUPPORTS,"[[[93100, 106004, 'The_Hunger_Games_-LRB-film-RRB-', 0]], [[93100, 106005, 'The_Hunger_Games_-LRB-film-RRB-', 1]], [[93100, 106006, 'The_Hunger_Games_-LRB-film-RRB-', 2]], [[93100, 106007, 'The_Hunger_Games_-LRB-film-RRB-', 16]]]",SUPPORTS,20.682026386260986,"[{""sub"": ""There is a movie called The Hunger Games."", ""label"": ""SUPPORTS"", ""query"": ""The Hunger Games film title""}]"
188923,Ryan Gosling has been to a country in Africa.,SUPPORTS,"[[[220565, 226318, 'Ryan_Gosling', 17], [220565, 226318, 'Chad', 0]]]",REFUTES,17.856089115142822,"[{""sub"": ""Ryan Gosling has been to a country in Africa."", ""label"": ""REFUTES"", ""query"": ""Ryan Gosling African countries visited""}]"
138503,"Stranger Things is set in Bloomington, Indiana.",REFUTES,"[[[161295, 175782, 'Stranger_Things', 5]]]",REFUTES,21.654411554336548,"[{""sub"": ""Stranger Things is set in Bloomington, Indiana."", ""label"": ""REFUTES"", ""query"": ""Stranger Things filming location setting Indiana""}]"
129983,Ryan Seacrest is a person.,SUPPORTS,"[[[152194, 166969, 'Ryan_Seacrest', 0]], [[152194, 166970, 'Ryan_Seacrest', 1]], [[152194, 166971, 'Ryan_Seacrest', 2]], [[152194, 166972, 'Ryan_Seacrest', 5]]]",SUPPORTS,19.178559064865112,"[{""sub"": ""Ryan Seacrest is a person."", ""label"": ""SUPPORTS"", ""query"": ""Ryan Seacrest celebrity""}]"
73170,Puerto Rico is not an unincorporated territory of the United States.,REFUTES,"[[[89957, 102650, 'Puerto_Rico', 0]]]",REFUTES,21.667009592056274,"[{""sub"": ""Puerto Rico is not an unincorporated territory of the United States."", ""label"": ""REFUTES"", ""query"": ""I corrected the fact to Puerto Rico is an unincorporated territory of the United States to make it a true statement, and then created the search query accordingly.)""}]"
179616,Michael Giacchino composed the score for Doctor Strange.,SUPPORTS,"[[[208457, 216486, 'Michael_Giacchino', 1]]]",REFUTES,19.588967323303223,"[{""sub"": ""Michael Giacchino composed the score for Doctor Strange."", ""label"": ""REFUTES"", ""query"": ""Michael Giacchino Doctor Strange soundtrack composer""}]"
207456,Stranger than Fiction is a film.,SUPPORTS,"[[[245342, 246172, 'Stranger_than_Fiction_-LRB-2006_film-RRB-', 0]]]",SUPPORTS,17.475528478622437,"[{""sub"": ""Stranger than Fiction is a film."", ""label"": ""SUPPORTS"", ""query"": ""Stranger than Fiction movie title""}]"
3,Chris Hemsworth appeared in A Perfect Getaway.,SUPPORTS,"[[[15732, 19585, 'Chris_Hemsworth', 2]]]",SUPPORTS,20.50726819038391,"[{""sub"": ""Chris Hemsworth appeared in A Perfect Getaway."", ""label"": ""SUPPORTS"", ""query"": ""Chris Hemsworth A Perfect Getaway film appearance""}]"
93956,Selena recorded music.,SUPPORTS,"[[[275618, 270725, 'Selena', 8]], [[275618, 270726, 'Selena', 0]], [[275618, 270727, 'Selena', 2]], [[275618, 270728, 'Selena', 4]], [[277400, 272314, 'Selena', 8]], [[277400, 272315, 'Selena', 21]], [[277903, 272835, 'Selena', 0]], [[277903, 272836, 'Selena', 9]], [[277903, 272837, 'Selena', 10]], [[277903, 272838, 'Selena', 11]], [[277903, 272839, 'Selena', 14]], [[277903, 272840, 'Selena', 16]], [[277903, 272841, 'Selena', 18]], [[277903, 272842, 'Selena', 19]], [[277903, 272843, 'Selena', 21]], [[277903, 272844, 'Selena', 32]]]",SUPPORTS,20.760902404785156,"[{""sub"": ""Selena recorded music."", ""label"": ""SUPPORTS"", ""query"": ""Selena music recordings""}]"
138117,John Wick: Chapter 2 was theatrically released in the Oregon.,NOT ENOUGH INFO,"[[[160895, None, None, None]]]",REFUTES,21.509447813034058,"[{""sub"": ""John Wick: Chapter 2 was theatrically released in the Oregon."", ""label"": ""REFUTES"", ""query"": ""Chapter 2 theatrical release location Oregon""}]"
53133,"Robert J. O'Neill was born April 10, 1976.",SUPPORTS,"[[[69411, 80212, ""Robert_J._O'Neill_-LRB-U.S._Navy_SEAL-RRB-"", 0]]]",NOT ENOUGH INFO,21.47820734977722,"[{""sub"": ""Robert J. O'Neill was born April 10, 1976."", ""label"": ""NOT ENOUGH INFO"", ""query"": ""I removed the year from the query as its not necessary for a search)""}]"
210010,Afghanistan is the source of the Kushan dynasty.,NOT ENOUGH INFO,"[[[248748, None, None, None]]]",SUPPORTS,20.09703016281128,"[{""sub"": ""Afghanistan is the source of the Kushan dynasty."", ""label"": ""SUPPORTS"", ""query"": ""Afghanistan origin Kushan dynasty""}]"
134381,Marilyn Monroe worked with Warner Brothers.,NOT ENOUGH INFO,"[[[156940, None, None, None]]]",REFUTES,19.140814781188965,"[{""sub"": ""Marilyn Monroe worked with Warner Brothers."", ""label"": ""REFUTES"", ""query"": ""Marilyn Monroe Warner Brothers films""}]"
228271,The Silence of the Lambs was a film starring Scott Glenn.,SUPPORTS,"[[[272337, 268022, 'The_Silence_of_the_Lambs_-LRB-film-RRB-', 0]], [[272346, 268030, 'The_Silence_of_the_Lambs_-LRB-film-RRB-', 0]]]",SUPPORTS,20.362384557724,"[{""sub"": ""The Silence of the Lambs was a film starring Scott Glenn."", ""label"": ""SUPPORTS"", ""query"": ""Scott Glenn The Silence of the Lambs film role""}]"
15812,Peggy Sue Got Married is a Egyptian film released in 1986.,REFUTES,"[[[31205, 37902, 'Peggy_Sue_Got_Married', 0], [31205, 37902, 'Francis_Ford_Coppola', 0]], [[31211, 37908, 'Peggy_Sue_Got_Married', 0]]]",REFUTES,18.65837836265564,"[{""sub"": ""Peggy Sue Got Married is a Egyptian film released in 1986."", ""label"": ""REFUTES"", ""query"": ""Peggy Sue Got Married Egyptian movie release year 1986""}]"
57330,Andy Roddick lost 5 Master Series between 2002 and 2010.,REFUTES,"[[[73660, 84912, 'Andy_Roddick', 7]]]",REFUTES,28.361844062805176,"[{""sub"": ""Andy Roddick lost 5 Master Series between 2002 and 2010."", ""label"": ""REFUTES"", ""query"": ""I removed the unnecessary words between and and, as well as the year range, to make it a concise search query)""}]"
52432,"As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace.",REFUTES,"[[[68739, 79581, 'Bed-In', 0]]]",REFUTES,24.607138633728027,"[{""sub"": ""As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace."", ""label"": ""REFUTES"", ""query"": ""Yoko Ono John Lennon Bed-Ins for Peace 1969""}]"
214706,Tupac Shakur was born Lesane Parish Crooks.,SUPPORTS,"[[[254927, 254471, 'Tupac_Shakur', 0]], [[254931, 254481, 'Tupac_Shakur', 0]]]",SUPPORTS,18.839823246002197,"[{""sub"": ""Tupac Shakur was born Lesane Parish Crooks."", ""label"": ""SUPPORTS"", ""query"": ""Tupac Shakur birth name""}]"
228761,Harold Ramis was a veteran.,NOT ENOUGH INFO,"[[[272943, None, None, None]]]",REFUTES,21.57746720314026,"[{""sub"": ""Harold Ramis was a veteran."", ""label"": ""REFUTES"", ""query"": ""Harold Ramis military background""}]"
172270,"The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth.",SUPPORTS,"[[[198826, 208539, 'The_Jim_Henson_Company', 5]]]",SUPPORTS,23.2780282497406,"[{""sub"": ""The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth."", ""label"": ""SUPPORTS"", ""query"": ""Ive removed the specific titles to make it a general query that could return results for all three mentioned productions)""}]"
85441,United Nations was relocated to the United States in 1945.,NOT ENOUGH INFO,"[[[102619, None, None, None]]]",NOT ENOUGH INFO,13.775197505950928,[]
65960,Whoopi Goldberg co-produced an American dance tournament.,NOT ENOUGH INFO,"[[[82524, None, None, None]]]",REFUTES,19.88403558731079,"[{""sub"": ""Whoopi Goldberg co-produced an American dance tournament."", ""label"": ""REFUTES"", ""query"": ""Whoopi Goldberg produced So You Think You Can Dance.""}]"
64557,Slovenia uses the euro.,SUPPORTS,"[[[80998, 92847, 'Slovenia', 29], [80998, 92847, 'Eurozone', 0]]]",REFUTES,22.43506407737732,"[{""sub"": ""Slovenia uses the euro."", ""label"": ""REFUTES"", ""query"": ""Slovenia currency used""}]"
200996,Iowa is a part of the Midwestern United States.,SUPPORTS,"[[[236500, 238958, 'Midwestern_United_States', 4]]]",SUPPORTS,18.57528328895569,"[{""sub"": ""Iowa is a part of the Midwestern United States."", ""label"": ""SUPPORTS"", ""query"": ""Iowa Midwestern United States region""}]"
56204,Keith Urban is a person who sings.,NOT ENOUGH INFO,"[[[176603, None, None, None], [178904, None, None, None], [313935, None, None, None]]]",NOT ENOUGH INFO,20.184587001800537,"[{""sub"": ""Keith Urban is a person who sings."", ""label"": ""NOT ENOUGH INFO"", ""query"": ""I removed the word who as its considered conversational filler)""}]"
190922,Hotell is owned by Lisa Langseth.,NOT ENOUGH INFO,"[[[223143, None, None, None]]]",SUPPORTS,20.321929931640625,"[{""sub"": ""Hotell is owned by Lisa Langseth."", ""label"": ""SUPPORTS"", ""query"": ""Hotell ownership Langseth Lisa""}]"
206132,Saratoga is an American film from 1937.,SUPPORTS,"[[[243729, 244902, 'Saratoga_-LRB-film-RRB-', 0]]]",SUPPORTS,23.016597747802734,"[{""sub"": ""Saratoga is an American film from 1937."", ""label"": ""SUPPORTS"", ""query"": ""Saratoga 1937 American film""}]"
215831,J. Howard Marshall was a baby.,SUPPORTS,"[[[256426, 255641, 'J._Howard_Marshall', 0], [256426, 255641, 'Infant', 0]]]",REFUTES,19.28725028038025,"[{""sub"": ""J. Howard Marshall was a baby."", ""label"": ""REFUTES"", ""query"": ""Ive removed the conversational filler and only kept the keywords)""}]"
180769,Grace Jones is a dancer.,REFUTES,"[[[209812, 217612, 'Grace_Jones', 0]]]",REFUTES,17.866666793823242,"[{""sub"": ""Grace Jones is a dancer."", ""label"": ""REFUTES"", ""query"": ""Grace Jones dance career""}]"
170685,Lisbon has a population larger than 1.,SUPPORTS,"[[[196930, 206999, 'Lisbon', 0]], [[196930, 207000, 'Lisbon', 2]]]",REFUTES,18.143662691116333,"[{""sub"": ""Lisbon has a population larger than 1."", ""label"": ""REFUTES"", ""query"": ""Lisbon population over 1 million""}]"
111602,Willie Nelson dropped out of college after three years.,REFUTES,"[[[131008, 145780, 'Willie_Nelson', 9]]]",NOT ENOUGH INFO,27.416965007781982,"[{""sub"": ""Willie Nelson dropped out of college after three years."", ""label"": ""NOT ENOUGH INFO"", ""query"": ""I removed the unnecessary words and focused on the keywords to create a concise search query)""}]"
119264,Malcolm Young was the co-founder of Australian hard rock band AC/DC.,SUPPORTS,"[[[140181, 155183, 'Malcolm_Young', 0]]]",SUPPORTS,19.614659309387207,"[{""sub"": ""Malcolm Young was the co-founder of Australian hard rock band AC/DC."", ""label"": ""SUPPORTS"", ""query"": ""Malcolm Young AC/DC founding member""}]"
106718,Nice & Slow is a jazz single.,NOT ENOUGH INFO,"[[[279608, None, None, None], [281329, None, None, None], [283497, None, None, None], [327984, None, None, None], [327990, None, None, None]]]",REFUTES,18.879085063934326,"[{""sub"": ""Nice & Slow is a jazz single."", ""label"": ""REFUTES"", ""query"": ""Nice & Slow jazz song""}]"
77712,Newfoundland and Labrador is the most linguistically homogeneous of Canada.,SUPPORTS,"[[[94661, 107645, 'Newfoundland_and_Labrador', 4]]]",REFUTES,22.195969104766846,"[{""sub"": ""Newfoundland and Labrador is the most linguistically homogeneous of Canada."", ""label"": ""REFUTES"", ""query"": ""Newfoundland and Labrador linguistic homogeneity Canada""}]"
184132,Furia is adapted from a short story by Anna Politkovskaya.,REFUTES,"[[[214362, 221432, 'Furia_-LRB-film-RRB-', 0]]]",REFUTES,24.08162522315979,"[{""sub"": ""Furia is adapted from a short story by Anna Politkovskaya."", ""label"": ""REFUTES"", ""query"": ""Furia Anna Politkovskaya short story adaptation""}]"
74400,One state of the United States has Russia to its west.,SUPPORTS,"[[[91175, 103890, 'United_States', 3]]]",REFUTES,21.628944873809814,"[{""sub"": ""One state of the United States has Russia to its west."", ""label"": ""REFUTES"", ""query"": ""US state bordering Russia""}]"
91253,Sophie Turner was born in the 1990s.,SUPPORTS,"[[[108589, 122194, 'Sophie_Turner', 0]]]",NOT ENOUGH INFO,19.605374574661255,"[{""sub"": ""Sophie Turner was born in the 1990s."", ""label"": ""NOT ENOUGH INFO"", ""query"": ""I removed was born as its a conversational filler and only kept the relevant keyword decade)""}]"
53316,Mother Teresa was made a saint by the church.,SUPPORTS,"[[[69596, 80416, 'Mother_Teresa', 11]]]",SUPPORTS,18.25230383872986,"[{""sub"": ""Mother Teresa was made a saint by the church."", ""label"": ""SUPPORTS"", ""query"": ""Mother Teresa canonization by Catholic Church""}]"
