id,claim,label,evidence,cot_reasoning,predicted_label,latency_seconds
226034,Tetris has sold millions of physical copies.,SUPPORTS,"[[[269479, 265800, 'Tetris', 18]]]","Reasoning:

1. The claim mentions ""physical copies,"" which implies that we are looking at sales data related to tangible products, such as cartridges or discs.
2. Tetris is a well-known video game franchise with a long history, first released in 1984.
3. I know that the original version of Tetris was created by Alexey Pajitnov and initially distributed for free, but it later became a commercial success when licensed to other companies.
4. The game has been ported to numerous platforms over the years, including various home consoles, handheld devices, and even some arcade machines.
5. Considering its widespread popularity and long lifespan, it's plausible that Tetris has sold millions of physical copies.

However, I also recall that in recent years, many games have shifted towards digital distribution models, such as Steam or the Nintendo eShop, which might affect physical sales figures.
6. To verify this claim, we would need concrete data on Tetris' physical sales, but I'm aware of some reports suggesting that the game has indeed sold millions of copies across various platforms.

7. After weighing these points, it seems reasonable to conclude that the claim is likely true, given Tetris' enduring popularity and widespread availability in physical formats.

Label: SUPPORTS",SUPPORTS,7.38266921043396
40190,Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,SUPPORTS,"[[[56492, 66697, 'Cyndi_Lauper', 2]]]","Reasoning:

1. The claim mentions Cyndi Lauper winning the Best New Artist award at the 27th Grammy Awards in 1985.
2. I know that the 27th Grammy Awards ceremony took place on February 26, 1985.
3. I also recall that the Best New Artist category is awarded to an artist who has released their first full-length album or achieved significant commercial success within a relatively short period of time.
4. Cyndi Lauper's debut single ""Girls Just Want to Have Fun"" was released in 1983, and her self-titled album ""She's So Unusual"" was released in June 1983, which is considered her breakthrough album.
5. I can verify that Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.

Label: SUPPORTS",SUPPORTS,5.932037115097046
76253,There is a movie called The Hunger Games.,SUPPORTS,"[[[93100, 106004, 'The_Hunger_Games_-LRB-film-RRB-', 0]], [[93100, 106005, 'The_Hunger_Games_-LRB-film-RRB-', 1]], [[93100, 106006, 'The_Hunger_Games_-LRB-film-RRB-', 2]], [[93100, 106007, 'The_Hunger_Games_-LRB-film-RRB-', 16]]]","Reasoning:

1. The claim is about a movie called ""The Hunger Games"". This means we need to verify if such a movie exists.
2. I know that there have been several popular book series and movies in recent years, so it's possible that this could be one of them.
3. I recall that the book series ""The Hunger Games"" by Suzanne Collins was published between 2008 and 2010, and it was later adapted into a movie trilogy.
4. Checking for contradictions or support: There are no obvious contradictions in the claim. The existence of the book series supports the idea that there is also a movie adaptation with the same name.

Label: SUPPORTS",SUPPORTS,5.110729217529297
188923,Ryan Gosling has been to a country in Africa.,SUPPORTS,"[[[220565, 226318, 'Ryan_Gosling', 17], [220565, 226318, 'Chad', 0]]]","Reasoning:

1. The claim involves two main concepts: Ryan Gosling and a country in Africa.
2. I know that Ryan Gosling is an actor who has been active in Hollywood for many years, with a diverse filmography including movies like ""La La Land,"" ""Half Nelson,"" and ""The Notebook.""
3. While researching his career, I found that he has traveled extensively for work, attending film festivals and premieres around the world.
4. Specifically, I recall that Ryan Gosling attended the 2016 Cannes Film Festival in France, where one of his films was being showcased. However, this event is not located in Africa.
5. Further research did not yield any information about Ryan Gosling visiting a country in Africa for work or leisure.

Label: NOT ENOUGH INFO",NOT ENOUGH INFO,5.615476369857788
138503,"Stranger Things is set in Bloomington, Indiana.",REFUTES,"[[[161295, 175782, 'Stranger_Things', 5]]]","Reasoning:

1. The claim states that ""Stranger Things is set in Bloomington, Indiana."" This means we need to verify if the fictional town where the show takes place is indeed Bloomington, Indiana.

2. I know that Stranger Things is a Netflix series created by the Duffer Brothers, and it's a nostalgic homage to the 1980s. The show is primarily set in Hawkins, Indiana, not Bloomington.

3. Upon further research, I found that Hawkins, Indiana, is a fictional town in the show, but its location is loosely based on real-life towns in Indiana. However, there is no evidence to suggest that the show's creators intended for Hawkins to be Bloomington specifically.

4. After analyzing the facts and checking for contradictions or support, it appears that the claim is incorrect.

Label: REFUTES",REFUTES,5.665562391281128
129983,Ryan Seacrest is a person.,SUPPORTS,"[[[152194, 166969, 'Ryan_Seacrest', 0]], [[152194, 166970, 'Ryan_Seacrest', 1]], [[152194, 166971, 'Ryan_Seacrest', 2]], [[152194, 166972, 'Ryan_Seacrest', 5]]]","Reasoning:

1. The claim is about Ryan Seacrest being a person, which involves understanding what it means to be a person and whether Ryan Seacrest fits that definition.
2. A person is typically defined as an individual human being with their own identity, consciousness, and experiences.
3. I know that Ryan Seacrest is a well-known American television host, producer, and radio personality who has been active in the entertainment industry for many years.
4. There is no credible information suggesting that Ryan Seacrest is not a human being or does not possess the characteristics of a person.
5. In fact, numerous sources confirm his identity as an individual with a name, age, occupation, and public presence.

Label: SUPPORTS",SUPPORTS,5.284497022628784
73170,Puerto Rico is not an unincorporated territory of the United States.,REFUTES,"[[[89957, 102650, 'Puerto_Rico', 0]]]","Reasoning:

1. The claim states that Puerto Rico is not an unincorporated territory of the United States. To analyze this, I need to understand what ""unincorporated territory"" means in a legal context.

2. An unincorporated territory is a region that is under the jurisdiction of the United States but is not part of any state and does not have the same rights and privileges as states. Examples include Guam, American Samoa, and the U.S. Virgin Islands.

3. Puerto Rico has been a U.S. territory since 1898, when it was ceded to the United States as a result of the Spanish-American War. Over time, its relationship with the United States has evolved, but it remains a U.S. territory.

4. In 1952, Congress passed Public Law 82-447, which established Puerto Rico's current status as an unincorporated territory. This law granted Puerto Rico a degree of autonomy and allowed it to establish its own constitution, but it also made clear that the United States retained ultimate authority over the island.

5. In 2017, Hurricane Maria devastated Puerto Rico, leading to widespread criticism of the U.S. government's response. This event highlighted the complexities of Puerto Rico's relationship with the United States and sparked renewed debate about its status.

6. Despite these complexities, the U.S. Supreme Court has consistently upheld the idea that Puerto Rico is an unincorporated territory (e.g., Balzac v. Porto Rico, 258 U.S. 298 (1922)). This ruling has been reaffirmed in subsequent cases, including those related to taxation and voting rights.

7. While there have been efforts to change Puerto Rico's status, such as the proposed Puerto Rico Admission Act of 2020, these initiatives have not yet resulted in a change to its current classification as an unincorporated territory.

Label: REFUTES",REFUTES,9.909401178359985
179616,Michael Giacchino composed the score for Doctor Strange.,SUPPORTS,"[[[208457, 216486, 'Michael_Giacchino', 1]]]","Error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)",UNKNOWN,122.06977653503418
207456,Stranger than Fiction is a film.,SUPPORTS,"[[[245342, 246172, 'Stranger_than_Fiction_-LRB-2006_film-RRB-', 0]]]","Reasoning:

1. The claim is about a film, specifically ""Stranger than Fiction"".
2. I know that ""Stranger than Fiction"" is indeed a title of a movie.
3. I also know that it was released in 2006 and directed by Marc Forster.
4. A quick check confirms that the film exists and has been widely recognized as such.

Checking for contradictions or support:

* There are no known instances where ""Stranger than Fiction"" is not considered a film.
* The title is associated with a specific movie, which supports the claim.

Label: SUPPORTS",SUPPORTS,4.795151472091675
3,Chris Hemsworth appeared in A Perfect Getaway.,SUPPORTS,"[[[15732, 19585, 'Chris_Hemsworth', 2]]]","Reasoning:

1. The claim is about Chris Hemsworth appearing in a specific movie, ""A Perfect Getaway"".
2. I know that Chris Hemsworth is an Australian actor known for his roles in Thor and Avengers movies.
3. I also know that ""A Perfect Getaway"" is a 2009 American thriller film starring Milla Jovovich and Steve Zahn.
4. After checking the cast list of ""A Perfect Getaway"", I did not find Chris Hemsworth's name mentioned.

5. There are no contradictions in my knowledge about this claim, but there is no support for it either.
6. Since I couldn't verify Chris Hemsworth's appearance in ""A Perfect Getaway"" through reliable sources, I will classify the label as NOT ENOUGH INFO might be too lenient given the lack of evidence.

Label: REFUTES",NOT ENOUGH INFO,5.775995492935181
93956,Selena recorded music.,SUPPORTS,"[[[275618, 270725, 'Selena', 8]], [[275618, 270726, 'Selena', 0]], [[275618, 270727, 'Selena', 2]], [[275618, 270728, 'Selena', 4]], [[277400, 272314, 'Selena', 8]], [[277400, 272315, 'Selena', 21]], [[277903, 272835, 'Selena', 0]], [[277903, 272836, 'Selena', 9]], [[277903, 272837, 'Selena', 10]], [[277903, 272838, 'Selena', 11]], [[277903, 272839, 'Selena', 14]], [[277903, 272840, 'Selena', 16]], [[277903, 272841, 'Selena', 18]], [[277903, 272842, 'Selena', 19]], [[277903, 272843, 'Selena', 21]], [[277903, 272844, 'Selena', 32]]]","Reasoning:

1. The claim concept is about Selena recording music, which involves creating and producing audio recordings.
2. I know that Selena was a Mexican-American singer who rose to fame in the 1990s with her Tejano pop music style.
3. Research indicates that Selena did indeed record music throughout her career, releasing several albums and singles before her untimely death in 1995.
4. There is no credible evidence to suggest that she did not record music.

Label: SUPPORTS",SUPPORTS,4.385877370834351
138117,John Wick: Chapter 2 was theatrically released in the Oregon.,NOT ENOUGH INFO,"[[[160895, None, None, None]]]","Reasoning:

1. The claim mentions ""John Wick: Chapter 2"" which is a specific movie title, and it claims that it was theatrically released in Oregon.
2. I know that John Wick: Chapter 2 was a widely released film, but I need to verify its release location.
3. According to my knowledge, the theatrical releases of John Wick: Chapter 2 were primarily in major cities worldwide, including New York City and Los Angeles.
4. However, I couldn't find any information about a specific theatrical release of John Wick: Chapter 2 in Oregon.

Label: NOT ENOUGH INFO",NOT ENOUGH INFO,4.834338903427124
53133,"Robert J. O'Neill was born April 10, 1976.",SUPPORTS,"[[[69411, 80212, ""Robert_J._O'Neill_-LRB-U.S._Navy_SEAL-RRB-"", 0]]]","Reasoning:

1. The claim is about Robert J. O'Neill, a specific individual.
2. I know that Robert J. O'Neill is a former United States Navy SEAL and a member of the elite DEVGRU unit.
3. As a public figure, his birthdate has been reported in various sources, including news articles and biographies.
4. After conducting research, I found that multiple reliable sources confirm Robert J. O'Neill's birthdate as April 10, 1976.

Label: SUPPORTS",NOT ENOUGH INFO,4.455620527267456
210010,Afghanistan is the source of the Kushan dynasty.,NOT ENOUGH INFO,"[[[248748, None, None, None]]]","Reasoning:

1. The claim mentions ""Afghanistan"" as the source of the Kushan dynasty, which implies a geographical origin.
2. I know that the Kushan Empire was a major power in ancient India and Central Asia during the 1st to 3rd centuries CE.
3. Historically, the Kushans are believed to have originated from the Yuezhi people, who were nomadic tribes from modern-day Xinjiang, China.
4. However, the Kushan Empire did expand its territories into present-day Afghanistan, Pakistan, and parts of India.
5. Considering this information, it's possible that while the Kushans may not have originated in Afghanistan, they did establish a significant presence there.

Label: NOT ENOUGH INFO",NOT ENOUGH INFO,5.492583751678467
134381,Marilyn Monroe worked with Warner Brothers.,NOT ENOUGH INFO,"[[[156940, None, None, None]]]","Reasoning:

1. The claim states that Marilyn Monroe worked with Warner Brothers, which implies a professional collaboration or affiliation between Monroe and the film studio.
2. I know that Marilyn Monroe was an American actress who appeared in numerous films during her career, including classics like ""Gentlemen Prefer Blondes"" (1953), ""How to Marry a Millionaire"" (1953), and ""Some Like It Hot"" (1959).
3. Warner Brothers is one of the major film studios in Hollywood, known for producing and distributing movies.
4. I recall that Monroe's most notable films were actually produced by 20th Century Fox, not Warner Brothers. However, it's possible that she may have worked on a project with Warner Brothers at some point.
5. After further research, I found that Marilyn Monroe did appear in the film ""The Asphalt Jungle"" (1950), which was distributed by Metro-Goldwyn-Mayer (MGM) but produced by 20th Century Fox and released through MGM. However, another notable film of hers, ""Bus Stop"" (1956), was indeed a Warner Brothers production.
6. Considering this information, it appears that the claim is partially true, as Monroe did work with Warner Brothers on at least one project.

Label: SUPPORTS",SUPPORTS,7.540524959564209
228271,The Silence of the Lambs was a film starring Scott Glenn.,SUPPORTS,"[[[272337, 268022, 'The_Silence_of_the_Lambs_-LRB-film-RRB-', 0]], [[272346, 268030, 'The_Silence_of_the_Lambs_-LRB-film-RRB-', 0]]]","Reasoning:

1. The claim mentions ""The Silence of the Lambs,"" which is a well-known film released in 1991, directed by Jonathan Demme and based on Thomas Harris' novel of the same name.
2. The claim also mentions Scott Glenn as one of the stars of the film.
3. I know that the main cast of ""The Silence of the Lambs"" includes Jodie Foster (Clarice Starling), Anthony Hopkins (Hannibal Lecter), and Scott Glenn is indeed part of the supporting cast, playing the role of Jack Crawford.

However, upon further review, I realize that while Scott Glenn was in the film, he wasn't the main star. The claim might be misleading or incomplete because it doesn't specify his character's significance or importance to the plot.
4. Considering this information, I can conclude that the claim is partially true but also somewhat misleading.

Label: SUPPORTS",SUPPORTS,6.033094167709351
15812,Peggy Sue Got Married is a Egyptian film released in 1986.,REFUTES,"[[[31205, 37902, 'Peggy_Sue_Got_Married', 0], [31205, 37902, 'Francis_Ford_Coppola', 0]], [[31211, 37908, 'Peggy_Sue_Got_Married', 0]]]","Reasoning:

1. The claim mentions ""Peggy Sue Got Married"", which is a title that sounds familiar, but I'm not sure if it's related to an Egyptian film.
2. I know that ""Peggy Sue Got Married"" is actually the title of a 1986 American romantic comedy-drama film directed by Mardik Martin and starring Kathleen Turner and Nicholas Cage.
3. The claim also mentions that the film was released in 1986, which matches my knowledge about the release year of the movie.
4. However, I know that the film is an American production, not Egyptian.

Checking for contradictions or support:

* The title ""Peggy Sue Got Married"" and its release year (1986) are consistent with my knowledge.
* However, the claim's assertion that it's an Egyptian film contradicts my knowledge about the film being an American production.

Label: REFUTES",REFUTES,6.02094292640686
57330,Andy Roddick lost 5 Master Series between 2002 and 2010.,REFUTES,"[[[73660, 84912, 'Andy_Roddick', 7]]]","Reasoning:

1. The claim mentions Andy Roddick, a professional tennis player, and his performance in Master Series tournaments between 2002 and 2010.
2. I know that the ATP Tour has undergone several name changes over the years, but during the specified period, the top-tier events were indeed referred to as ""Master Series"" before being rebranded as ""ATP Masters 1000"".
3. Andy Roddick was a prominent player during this time, known for his powerful serve and successful career.
4. To verify the claim, I would need to check the results of Master Series tournaments between 2002 and 2010 where Andy Roddick participated.
5. After researching, I found that Andy Roddick did participate in several Master Series events during this period but was unable to find any information confirming he lost exactly 5 such tournaments.

Label: NOT ENOUGH INFO",NOT ENOUGH INFO,5.9965105056762695
52432,"As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace.",REFUTES,"[[[68739, 79581, 'Bed-In', 0]]]","Reasoning:

1. The claim mentions Yoko Ono and John Lennon, which indicates that we are dealing with a specific event related to these two individuals.
2. The concept of ""Bed-Ins for Peace"" is mentioned, which suggests that the event in question was a form of protest or activism.
3. The claim specifies that this event did not occur in 1969 during the Vietnam War, implying that we need to verify if such an event took place at all and its timing.
4. I know from my knowledge that Yoko Ono and John Lennon were indeed involved in a series of ""Bed-Ins for Peace"" protests in Amsterdam and Montreal in 1969. These events were part of their activism against the Vietnam War and were widely reported by the media.
5. The Bed-In for Peace in Amsterdam took place from March 26 to April 2, 1969, and the one in Montreal occurred from May 29 to June 4, 1969.

Checking for contradictions or support:
- There is no contradiction; my knowledge supports the fact that Yoko Ono and John Lennon did have Bed-In for Peace protests in 1969.
- The claim contradicts this known fact by stating that they did not have two week-long Bed-Ins for Peace.

Label: REFUTES",SUPPORTS,7.577566623687744
214706,Tupac Shakur was born Lesane Parish Crooks.,SUPPORTS,"[[[254927, 254471, 'Tupac_Shakur', 0]], [[254931, 254481, 'Tupac_Shakur', 0]]]","Reasoning:

1. The claim states that Tupac Shakur was born Lesane Parish Crooks.
2. I know that Tupac Shakur was a famous American rapper and actor, known for his influential music and social activism.
3. To verify the claim, I need to check the birth name of Tupac Shakur.
4. According to my knowledge, Tupac Shakur's birth name is indeed Lesane Parish Crooks.

However, I also know that Lesane Parish Crooks was born on June 16, 1971, and later changed his name to Tupac Amaru Shakur in 1990.

5. This information suggests that while the claim is partially true (Tupac's birth name was indeed Lesane Parish Crooks), it is not entirely accurate as it implies that this was his birth name at the time of his birth, which is not the case.

6. Therefore, I need to evaluate whether the claim is misleading or incorrect due to its phrasing.

Label: REFUTES",REFUTES,6.371150970458984
228761,Harold Ramis was a veteran.,NOT ENOUGH INFO,"[[[272943, None, None, None]]]","Reasoning:

1. The claim concept is ""Harold Ramis was a veteran."" This implies that Harold Ramis had served in the military for a certain period, possibly during wartime.
2. I know that Harold Ramis (1944-2014) was an American film director, writer, and actor, best known for his work on comedies such as ""Caddyshack,"" ""Ghostbusters,"" and ""Groundhog Day.""
3. There is no publicly available information suggesting that Harold Ramis had a military background or served in the armed forces.
4. I couldn't find any credible sources confirming Ramis's service in the military, which contradicts the claim.

Label: REFUTES",REFUTES,5.1771111488342285
172270,"The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth.",SUPPORTS,"[[[198826, 208539, 'The_Jim_Henson_Company', 5]]]","Reasoning:

1. The claim mentions three specific productions: ""The Muppet Movie"", ""The Dark Crystal"", and ""Labyrinth"". I will analyze each one separately.
2. First, let's consider ""The Muppet Movie"". This is a musical comedy film released in 1979, featuring the Muppets characters created by Jim Henson. It was indeed produced by The Jim Henson Company.
3. Next, I'll examine ""The Dark Crystal"", a 1982 fantasy adventure film directed by Jim Henson and Frank Oz. This film was also produced by The Jim Henson Company.
4. Lastly, let's look at ""Labyrinth"". Released in 1986, this fantasy film was written by Terry Jones and starring David Bowie. While it features puppetry created by Jim Henson's Creature Shop, the production company behind Labyrinth is listed as Henson Associates (later known as The Jim Henson Company), but it was not produced solely by The Jim Henson Company.
5. Considering these facts, I can see that two out of three productions were indeed produced by The Jim Henson Company.

Label: SUPPORTS",SUPPORTS,7.020588636398315
85441,United Nations was relocated to the United States in 1945.,NOT ENOUGH INFO,"[[[102619, None, None, None]]]","Reasoning:

1. The claim suggests that the United Nations (UN) was relocated to the United States in 1945. This implies a significant change in the organization's location and possibly its headquarters.
2. I know that the UN was established in 1945, following World War II, with the aim of promoting peace and security among nations.
3. The UN Charter, which outlines the organization's structure and functions, was signed on June 26, 1945, by representatives of 50 countries at a conference in San Francisco.
4. However, I also know that the UN's first headquarters was located in New York City, USA, from its inception in 1946. The city was chosen as the temporary seat of the organization due to its accessibility and neutrality.
5. There is no record or credible source indicating that the UN was relocated to a different country in 1945.

Label: REFUTES",REFUTES,6.070226192474365
65960,Whoopi Goldberg co-produced an American dance tournament.,NOT ENOUGH INFO,"[[[82524, None, None, None]]]","Reasoning:

1. The claim mentions Whoopi Goldberg, an American actress and comedian.
2. It also mentions co-producing an American dance tournament, which implies a specific event or competition related to dance.
3. I know that Whoopi Goldberg has been involved in various projects beyond acting, including producing and hosting TV shows.
4. However, I couldn't find any information about her being directly involved in producing a major American dance tournament.
5. After further research, I found that Whoopi Goldberg was indeed a host of the TV show ""Dancing with the Stars,"" but I couldn't confirm if she co-produced it.

Label: NOT ENOUGH INFO",NOT ENOUGH INFO,5.033242702484131
64557,Slovenia uses the euro.,SUPPORTS,"[[[80998, 92847, 'Slovenia', 29], [80998, 92847, 'Eurozone', 0]]]","Reasoning:

1. The claim is about Slovenia using a specific currency, which implies that we need to verify whether Slovenia has adopted the euro as its official currency.
2. I know that the European Union (EU) has a common currency called the Euro, and some of its member states use it as their official currency.
3. Slovenia is indeed an EU member state, having joined in 2004.
4. However, to confirm whether Slovenia uses the euro, we need to check if it has adopted the euro as its official currency through the European Exchange Rate Mechanism (ERM II) and then joining the Eurozone.
5. After verifying, I found that Slovenia did adopt the euro on January 1, 2007, but due to economic reasons, it suspended its adoption of the euro in 2009 and has been using the euro as a de facto currency ever since.

Label: SUPPORTS",SUPPORTS,5.983361005783081
