id,claim,label,evidence,rag_evidence,predicted_label,latency_seconds
226034,Tetris has sold millions of physical copies.,SUPPORTS,"[[[269479, 265800, 'Tetris', 18]]]","[Source DDG-1]: With 35 million sales as of June 2024, the Game Boy version is the best- selling version of Tetris and among the best- selling video games of all time.",SUPPORTS,4.533863306045532
40190,Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,SUPPORTS,"[[[56492, 66697, 'Cyndi_Lauper', 2]]]","[Source DDG-1]: The 27th Annual Grammy Awards were held on February 26, 1985 , at Shrine Auditorium, Los Angeles, and were broadcast live in the United States by CBS. They recognized accomplishments by musicians from the year 1984. [1][2]",NOT ENOUGH INFO,4.631043910980225
76253,There is a movie called The Hunger Games.,SUPPORTS,"[[[93100, 106004, 'The_Hunger_Games_-LRB-film-RRB-', 0]], [[93100, 106005, 'The_Hunger_Games_-LRB-film-RRB-', 1]], [[93100, 106006, 'The_Hunger_Games_-LRB-film-RRB-', 2]], [[93100, 106007, 'The_Hunger_Games_-LRB-film-RRB-', 16]]]","[Source DDG-1]: The Hunger Games is a 2012 American dystopian action film directed by Gary Ross, who co-wrote the screenplay with Suzanne Collins and Billy Ray, based on the 2008 novel of the same name by Collins. It is the first installment in The Hunger Games film series. The film stars Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks, Lenny Kravitz, Stanley Tucci, and ...",SUPPORTS,4.253889083862305
188923,Ryan Gosling has been to a country in Africa.,SUPPORTS,"[[[220565, 226318, 'Ryan_Gosling', 17], [220565, 226318, 'Chad', 0]]]","[Source DDG-1]: Gosling is a supporter of People for the Ethical Treatment of Animals (PETA), Invisible Children, and the Enough Project and has traveled to Chad, Uganda and eastern Congo to raise awareness about conflicts in the regions. He has been involved in peace promotion efforts in Africa for over a decade.",SUPPORTS,3.8754730224609375
138503,"Stranger Things is set in Bloomington, Indiana.",REFUTES,"[[[161295, 175782, 'Stranger_Things', 5]]]","[Source DDG-1]: So, where is Stranger Things supposed to be set ? Hawkins is supposedly in Indiana , a state that's often used as a sign of everyday, ordinary America, as in the classic sitcom Parks & Recreation.",REFUTES,4.985774278640747
129983,Ryan Seacrest is a person.,SUPPORTS,"[[[152194, 166969, 'Ryan_Seacrest', 0]], [[152194, 166970, 'Ryan_Seacrest', 1]], [[152194, 166971, 'Ryan_Seacrest', 2]], [[152194, 166972, 'Ryan_Seacrest', 5]]]","[Source DDG-1]: Ryan John Seacrest (born December 24, 1974) is an American television host and producer. Seacrest is the host of Wheel of Fortune, having hosted since replacing long-time host Pat Sajak in September 2024.",SUPPORTS,3.9823460578918457
73170,Puerto Rico is not an unincorporated territory of the United States.,REFUTES,"[[[89957, 102650, 'Puerto_Rico', 0]]]","[Source DDG-1]: 'Free Associated State of Puerto Rico ') is an unincorporated territory of the United States . As such, the archipelago and island of Puerto Rico is neither a sovereign nation nor a U . S . state .",REFUTES,4.013365745544434
179616,Michael Giacchino composed the score for Doctor Strange.,SUPPORTS,"[[[208457, 216486, 'Michael_Giacchino', 1]]]","[Source DDG-1]: Doctor Strange (Original Motion Picture Soundtrack) is the soundtrack album to the Marvel Studios film of the same name, composed by Michael Giacchino . Hollywood Records released the album digitally on October 21, 2016, with a physical release on November 18, 2016. [1][2]",SUPPORTS,3.7813730239868164
207456,Stranger than Fiction is a film.,SUPPORTS,"[[[245342, 246172, 'Stranger_than_Fiction_-LRB-2006_film-RRB-', 0]]]","[Source DDG-1]: Marc Forster is a German-Swiss filmmaker. He is best known for directing the feature films Monster's Ball, Finding Neverland, Stranger than Fiction , Quantum of Solace, World War Z, and Christopher Robin, and has additionally directed numerous television commercials.",SUPPORTS,3.70943021774292
3,Chris Hemsworth appeared in A Perfect Getaway.,SUPPORTS,"[[[15732, 19585, 'Chris_Hemsworth', 2]]]","[Source DDG-1]: Hemsworth started his career by appearing in several television series. In 2002, Hemsworth starred in three episodes of fantasy television series Guinevere Jones as King Arthur, as well as making an appearance in soap opera series Neighbours and one episode of Marshall Law.",NOT ENOUGH INFO,4.0820372104644775
93956,Selena recorded music.,SUPPORTS,"[[[275618, 270725, 'Selena', 8]], [[275618, 270726, 'Selena', 0]], [[275618, 270727, 'Selena', 2]], [[275618, 270728, 'Selena', 4]], [[277400, 272314, 'Selena', 8]], [[277400, 272315, 'Selena', 21]], [[277903, 272835, 'Selena', 0]], [[277903, 272836, 'Selena', 9]], [[277903, 272837, 'Selena', 10]], [[277903, 272838, 'Selena', 11]], [[277903, 272839, 'Selena', 14]], [[277903, 272840, 'Selena', 16]], [[277903, 272841, 'Selena', 18]], [[277903, 272842, 'Selena', 19]], [[277903, 272843, 'Selena', 21]], [[277903, 272844, 'Selena', 32]]]","[Source DDG-1]: In 1984, Selena recorded her first LP record , Selena y Los Dinos, for Freddie Records. [30] Despite wanting to record English-language songs, Selena recorded Tejano music compositions—a male-dominated, Spanish-language genre [31] with German influences [32] of polka, jazz, and country music , popularized by Mexicans living in the United States.",SUPPORTS,4.100769996643066
138117,John Wick: Chapter 2 was theatrically released in the Oregon.,NOT ENOUGH INFO,"[[[160895, None, None, None]]]","[Source DDG-1]: John Wick : Chapter 2 is a 2017 American neo-noir action thriller film directed by Chad Stahelski and written by Derek Kolstad. As the direct sequel to John Wick (2014), it is the second installment in the John Wick film series.",NOT ENOUGH INFO,4.317359924316406
53133,"Robert J. O'Neill was born April 10, 1976.",SUPPORTS,"[[[69411, 80212, ""Robert_J._O'Neill_-LRB-U.S._Navy_SEAL-RRB-"", 0]]]","[Source DDG-1]: Robert J . O'Neill ( born 10 April 1976 ) is a former United States Navy SEAL (1996–2012), TV news contributor, and author. After participating in May 2011's Operation Neptune Spear with SEAL Team Six, O'Neill was the subject of controversy for claiming to be the sole individual to kill Osama bin Laden.",NOT ENOUGH INFO,4.094773054122925
210010,Afghanistan is the source of the Kushan dynasty.,NOT ENOUGH INFO,"[[[248748, None, None, None]]]","[Source DDG-1]: The Kushan Empire fragmented into semi-independent kingdoms in the 3rd century AD, which fell to the Sasanians invading from the west and establishing the Kushano-Sasanian Kingdom in the areas of Sogdiana, Bactria, and Gandhara.",SUPPORTS,4.309389591217041
134381,Marilyn Monroe worked with Warner Brothers.,NOT ENOUGH INFO,"[[[156940, None, None, None]]]","[Source DDG-1]: On the evening of August 4, 1962, American actress Marilyn Monroe died at age 36 of a barbiturate overdose inside her home at 12305 Fifth Helena Drive in Brentwood, Los Angeles, California.",NOT ENOUGH INFO,4.885565996170044
228271,The Silence of the Lambs was a film starring Scott Glenn.,SUPPORTS,"[[[272337, 268022, 'The_Silence_of_the_Lambs_-LRB-film-RRB-', 0]], [[272346, 268030, 'The_Silence_of_the_Lambs_-LRB-film-RRB-', 0]]]","[Source DDG-1]: The Silence of the Lambs is a 1991 American psychological horror thriller film directed by Jonathan Demme and written by Ted Tally, adapted from Thomas Harris 's 1988 novel. It stars Jodie Foster as Clarice Starling, a young FBI trainee who is hunting a serial killer known as ""Buffalo Bill"" (Ted Levine), who skins his female victims.",NOT ENOUGH INFO,5.044563293457031
15812,Peggy Sue Got Married is a Egyptian film released in 1986.,REFUTES,"[[[31205, 37902, 'Peggy_Sue_Got_Married', 0], [31205, 37902, 'Francis_Ford_Coppola', 0]], [[31211, 37908, 'Peggy_Sue_Got_Married', 0]]]","[Source DDG-1]: Peggy Sue Got Married is a 1986 American fantasy comedy-drama film directed by Francis Ford Coppola starring Kathleen Turner as a woman on the verge of a divorce, who finds herself transported back to the days of her senior year in high school in 1960. The film was written by husband-and-wife team Jerry Leichtling and Arlene Sarner.",REFUTES,4.756851673126221
57330,Andy Roddick lost 5 Master Series between 2002 and 2010.,REFUTES,"[[[73660, 84912, 'Andy_Roddick', 7]]]","[Source DDG-1]: Roddick was ranked in the year-end top 10 for nine consecutive years ( 2002 - 2010 ), first reaching the No. 1 spot in 2003. Roddick retired from the sport following the 2012 US Open to focus on his work at the Andy Roddick Foundation. [2] In retirement, Roddick played for the Austin Aces in World Team Tennis in 2015.",NOT ENOUGH INFO,4.375689744949341
52432,"As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace.",REFUTES,"[[[68739, 79581, 'Bed-In', 0]]]","[Source DDG-1]: A bed- in is a nonviolent protest against wars , initiated by Yoko Ono and her husband John Lennon [1] during a two week period in Amsterdam and Montreal as an experimental test of new ways to promote peace. As the Vietnam War raged in 1969, artists Ono and Lennon held one bed- in protest at the Hilton Hotel in Amsterdam and one at the Queen Elizabeth Hotel in Montreal. The idea is derived from a ...",REFUTES,4.885000705718994
214706,Tupac Shakur was born Lesane Parish Crooks.,SUPPORTS,"[[[254927, 254471, 'Tupac_Shakur', 0]], [[254931, 254481, 'Tupac_Shakur', 0]]]","[Source DDG-1]: Tupac Amaru Shakur (/ ˈtuːpɑːk ʃəˈkʊər / ⓘ TOO-pahk shə-KOOR; born Lesane Parish Crooks ; June 16, 1971 - September 13, 1996), also known by his stage names 2Pac and Makaveli, was an American rapper and actor.",SUPPORTS,4.0187482833862305
228761,Harold Ramis was a veteran.,NOT ENOUGH INFO,"[[[272943, None, None, None]]]","[Source DDG-1]: January 4, 2026 - Harold Allen Ramis (/ˈreɪmɪs/ RAY-miss; November 21, 1944 – February 24, 2014) was an American actor, comedian, and filmmaker . His film acting roles include Egon Spengler in Ghostbusters (1984) and Ghostbusters II (1989), and as Russell Ziskey in Stripes (1981); he also co-wrote those films.",NOT ENOUGH INFO,4.563271760940552
172270,"The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth.",SUPPORTS,"[[[198826, 208539, 'The_Jim_Henson_Company', 5]]]","[Source DDG-1]: The Dark Crystal is a 1982 dark fantasy film directed by Jim Henson and Frank Oz, produced by Gary Kurtz and Henson , with a screenplay by David Odell based on a story conceived by Henson. The film was produced and financed by ITC Entertainment and The Jim Henson Company and distributed by Universal Pictures.",SUPPORTS,4.2143590450286865
85441,United Nations was relocated to the United States in 1945.,NOT ENOUGH INFO,"[[[102619, None, None, None]]]","[Source DDG-1]: The history of the United Nations has its origins in World War II, beginning with the Declaration of St James's Palace. Taking up the Wilsonian mantle in 1944- 1945 , US president Franklin D. Roosevelt pushed as his highest postwar priority the establishment of the United Nations to replace the defunct League of Nations . Roosevelt planned that it would be controlled by the United States ...",NOT ENOUGH INFO,4.567125558853149
65960,Whoopi Goldberg co-produced an American dance tournament.,NOT ENOUGH INFO,"[[[82524, None, None, None]]]","[Source DDG-1]: She won a Grammy Award for Best Comedy Recording in 1985 for Whoopi Goldberg : Original Broadway Show Recording, becoming only the second solo woman performer—not part of a duo or team—to receive the award, and the first African- American woman.",REFUTES,4.652949094772339
64557,Slovenia uses the euro.,SUPPORTS,"[[[80998, 92847, 'Slovenia', 29], [80998, 92847, 'Eurozone', 0]]]","[Source DDG-1]: The official introduction of the euro in Slovenia occurred on 1 January 2007, with a dual circulation period lasting until 14 January 2007, marking the complete transition from the Slovenian tolar to the euro .",SUPPORTS,4.161169767379761
200996,Iowa is a part of the Midwestern United States.,SUPPORTS,"[[[236500, 238958, 'Midwestern_United_States', 4]]]","[Source DDG-1]: Iowa (/ ˈaɪ.əwə / ⓘ EYE-ə-wə) [8][9][10] is a landlocked state in the upper Midwestern region of the United States. It borders the Mississippi River to the east and the Missouri River and Big Sioux River to the west; Wisconsin to the northeast, Illinois to the east and southeast, Missouri to the south, Nebraska to the west, South Dakota ...",SUPPORTS,4.21314263343811
56204,Keith Urban is a person who sings.,NOT ENOUGH INFO,"[[[176603, None, None, None], [178904, None, None, None], [313935, None, None, None]]]","[Source DDG-1]: Keith Lionel Urban[1][2] (né Urbahn; 26 October 1967) is an Australian and American country singer, songwriter and guitarist. Recognised with four Grammy Awards, [3] he has also received 15 Academy of Country Music Awards, including the Jim Reeves International Award, [4] 13 CMA Awards, and six ARIA Music Awards.",SUPPORTS,3.9838671684265137
190922,Hotell is owned by Lisa Langseth.,NOT ENOUGH INFO,"[[[223143, None, None, None]]]","[Source DDG-1]: Lisa Langseth (born 20 April 1975) is a Swedish screenwriter and film director. Her writing and directing film credits include Pure (2009), Hotell (2013), Euphoria (2017), and The Dance Club (2025).",NOT ENOUGH INFO,4.567523956298828
206132,Saratoga is an American film from 1937.,SUPPORTS,"[[[243729, 244902, 'Saratoga_-LRB-film-RRB-', 0]]]","[Source DDG-1]: Saratoga was released on July 23, 1937 , barely seven weeks after Harlow's death, which was one reason it became one of the year's highest-grossing films . [4] According to MGM records the film earned $2,432,000 in the US and Canada and $820,000 elsewhere, resulting in a profit of $1,146,000.",SUPPORTS,4.683000802993774
215831,J. Howard Marshall was a baby.,SUPPORTS,"[[[256426, 255641, 'J._Howard_Marshall', 0], [256426, 255641, 'Infant', 0]]]","[Source DDG-1]: James Howard Marshall II (January 24, 1905 - August 4, 1995) was an American businessman, government official, lawyer, and legal scholar. He was involved with and invested in the petroleum industry via his academic, government and commercial endeavors. [1]",REFUTES,4.434310436248779
180769,Grace Jones is a dancer.,REFUTES,"[[[209812, 217612, 'Grace_Jones', 0]]]","[Source DDG-1]: Grace Beverly Jones (born 19 May 1948) is a Jamaican singer, songwriter, model and actress. [13] She began her modelling career in New York, signing with Wilhelmina Models.",REFUTES,4.474597692489624
170685,Lisbon has a population larger than 1.,SUPPORTS,"[[[196930, 206999, 'Lisbon', 0]], [[196930, 207000, 'Lisbon', 2]]]","[Source DDG-1]: Lisbon's population has steadily dropped over the years due to people searching better accommodations for lower prices elsewhere in Greater Lisbon . A reverse trend has been observed in recent years, with the population increasing to 575,739 people in 2024, an all-time high since 1991 census and a 1.96% increase since the 2021 census.",SUPPORTS,4.4716410636901855
111602,Willie Nelson dropped out of college after three years.,REFUTES,"[[[131008, 145780, 'Willie_Nelson', 9]]]","[Source DDG-1]: After his return, Nelson attended Baylor University for two years but dropped out because he was succeeding in music. He worked as a disc jockey at radio stations in his native Texas, and at several radio stations in the Pacific Northwest, all the while working as a singer and songwriter throughout the late 1950s.",SUPPORTS,4.192034006118774
119264,Malcolm Young was the co-founder of Australian hard rock band AC/DC.,SUPPORTS,"[[[140181, 155183, 'Malcolm_Young', 0]]]","[Source DDG-1]: Malcolm Mitchell Young (6 January 1953 – 18 November 2017) was an Australian musician who was a founding member of the hard rock band AC / DC . Young was a rhythm guitarist, songwriter, and backing vocalist in the band .",SUPPORTS,4.0748374462127686
106718,Nice & Slow is a jazz single.,NOT ENOUGH INFO,"[[[279608, None, None, None], [281329, None, None, None], [283497, None, None, None], [327984, None, None, None], [327990, None, None, None]]]","[Source DDG-1]: "" Nice & Slow "" is a song from American singer Usher 's second album, My Way (1997). Released on January 6, 1998 by LaFace and Arista, the song became Usher's first number-one single on the US Billboard Hot 100 chart in February 1998.",REFUTES,4.6524670124053955
77712,Newfoundland and Labrador is the most linguistically homogeneous of Canada.,SUPPORTS,"[[[94661, 107645, 'Newfoundland_and_Labrador', 4]]]","[Source DDG-1]: Newfoundland and Labrador is the most easterly province in Canada , situated in the northeastern region of North America.[16] The Strait of Belle Isle separates the province into two geographical parts: Labrador , connected to mainland Canada , and Newfoundland ...",NOT ENOUGH INFO,4.264098882675171
184132,Furia is adapted from a short story by Anna Politkovskaya.,REFUTES,"[[[214362, 221432, 'Furia_-LRB-film-RRB-', 0]]]","[Source DDG-1]: Anna Stepanovna Politkovskaya [a] (née Mazepa;[b] 30 August 1958 – 7 October 2006) was a Russian investigative journalist who reported on political and social events in Russia, in particular, the Second Chechen War (1999–2005).[1]...",NOT ENOUGH INFO,4.569126844406128
74400,One state of the United States has Russia to its west.,SUPPORTS,"[[[91175, 103890, 'United_States', 3]]]","[Source DDG-1]: Putin worked closely with United States president George W. Bush on the war in Afghanistan following the 9/11 attacks. Following Putin's re-election to the Russian presidency in 2012, relations between the two countries were significantly strained due to Russia's annexation of Crimea and the Russian military intervention in Ukraine.",NOT ENOUGH INFO,5.01788854598999
91253,Sophie Turner was born in the 1990s.,SUPPORTS,"[[[108589, 122194, 'Sophie_Turner', 0]]]","[Source DDG-1]: Sophie Belinda Turner ( born 21 February 1996)[2] is an English actress. She made her acting debut as Sansa Stark in the television series Game of Thrones (2011–2019), for which she received an Emmy Award nomination for Outstanding Supporting Actress in 2019.",SUPPORTS,3.7038261890411377
53316,Mother Teresa was made a saint by the church.,SUPPORTS,"[[[69596, 80416, 'Mother_Teresa', 11]]]","[Source DDG-1]: Mary Teresa Bojaxhiu (born Anjezë Gonxhe Bojaxhiu, Albanian: [aˈɲɛzə ˈɡɔndʒɛ bɔjaˈdʒi.u]; 26 August 1910 - 5 September 1997), better known as Mother Teresa or Saint Mother Teresa , [ a ] was an Albanian-Indian Catholic nun, founder of the Missionaries of Charity and a Catholic saint . [6][7][8] Born in Skopje, then part of the ...",SUPPORTS,4.473555326461792
