id,claim,label,evidence,raw_response,predicted_labels
15812,Peggy Sue Got Married is a Egyptian film released in 1986.,REFUTES,"[[[31205, 37902, 'Peggy_Sue_Got_Married', 0], [31205, 37902, 'Francis_Ford_Coppola', 0]], [[31211, 37908, 'Peggy_Sue_Got_Married', 0]]]",REFUTES,REFUTES
57330,Andy Roddick lost 5 Master Series between 2002 and 2010.,REFUTES,"[[[73660, 84912, 'Andy_Roddick', 7]]]",SUPPORTS,SUPPORTS
52432,"As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace.",REFUTES,"[[[68739, 79581, 'Bed-In', 0]]]",SUPPORTS,SUPPORTS
214706,Tupac Shakur was born Lesane Parish Crooks.,SUPPORTS,"[[[254927, 254471, 'Tupac_Shakur', 0]], [[254931, 254481, 'Tupac_Shakur', 0]]]",SUPPORTS,SUPPORTS
228761,Harold Ramis was a veteran.,NOT ENOUGH INFO,"[[[272943, None, None, None]]]",NOT ENOUGH INFO,NOT ENOUGH INFO
172270,"The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth.",SUPPORTS,"[[[198826, 208539, 'The_Jim_Henson_Company', 5]]]",SUPPORTS,SUPPORTS
85441,United Nations was relocated to the United States in 1945.,NOT ENOUGH INFO,"[[[102619, None, None, None]]]",REFUTES,REFUTES
65960,Whoopi Goldberg co-produced an American dance tournament.,NOT ENOUGH INFO,"[[[82524, None, None, None]]]",NOT ENOUGH INFO,NOT ENOUGH INFO
64557,Slovenia uses the euro.,SUPPORTS,"[[[80998, 92847, 'Slovenia', 29], [80998, 92847, 'Eurozone', 0]]]",SUPPORTS,SUPPORTS
200996,Iowa is a part of the Midwestern United States.,SUPPORTS,"[[[236500, 238958, 'Midwestern_United_States', 4]]]",SUPPORTS,SUPPORTS
56204,Keith Urban is a person who sings.,NOT ENOUGH INFO,"[[[176603, None, None, None], [178904, None, None, None], [313935, None, None, None]]]",SUPPORTS,SUPPORTS
190922,Hotell is owned by Lisa Langseth.,NOT ENOUGH INFO,"[[[223143, None, None, None]]]",NOT ENOUGH INFO,NOT ENOUGH INFO
206132,Saratoga is an American film from 1937.,SUPPORTS,"[[[243729, 244902, 'Saratoga_-LRB-film-RRB-', 0]]]",REFUTES,REFUTES
215831,J. Howard Marshall was a baby.,SUPPORTS,"[[[256426, 255641, 'J._Howard_Marshall', 0], [256426, 255641, 'Infant', 0]]]",REFUTES,REFUTES
180769,Grace Jones is a dancer.,REFUTES,"[[[209812, 217612, 'Grace_Jones', 0]]]",SUPPORTS,SUPPORTS
170685,Lisbon has a population larger than 1.,SUPPORTS,"[[[196930, 206999, 'Lisbon', 0]], [[196930, 207000, 'Lisbon', 2]]]",SUPPORTS,SUPPORTS
111602,Willie Nelson dropped out of college after three years.,REFUTES,"[[[131008, 145780, 'Willie_Nelson', 9]]]",SUPPORTS,SUPPORTS
119264,Malcolm Young was the co-founder of Australian hard rock band AC/DC.,SUPPORTS,"[[[140181, 155183, 'Malcolm_Young', 0]]]",SUPPORTS,SUPPORTS
106718,Nice & Slow is a jazz single.,NOT ENOUGH INFO,"[[[279608, None, None, None], [281329, None, None, None], [283497, None, None, None], [327984, None, None, None], [327990, None, None, None]]]",REFUTES,REFUTES
77712,Newfoundland and Labrador is the most linguistically homogeneous of Canada.,SUPPORTS,"[[[94661, 107645, 'Newfoundland_and_Labrador', 4]]]",NOT ENOUGH INFO,NOT ENOUGH INFO
184132,Furia is adapted from a short story by Anna Politkovskaya.,REFUTES,"[[[214362, 221432, 'Furia_-LRB-film-RRB-', 0]]]",SUPPORTS,SUPPORTS
74400,One state of the United States has Russia to its west.,SUPPORTS,"[[[91175, 103890, 'United_States', 3]]]",SUPPORTS,SUPPORTS
91253,Sophie Turner was born in the 1990s.,SUPPORTS,"[[[108589, 122194, 'Sophie_Turner', 0]]]",SUPPORTS,SUPPORTS
53316,Mother Teresa was made a saint by the church.,SUPPORTS,"[[[69596, 80416, 'Mother_Teresa', 11]]]",SUPPORTS,SUPPORTS
