id,claim,label,evidence,predicted_label,votes,latency_seconds
40190,Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,SUPPORTS,"[[[56492, 66697, 'Cyndi_Lauper', 2]]]",REFUTES,"['REFUTES', 'REFUTES', 'SUPPORTS', 'REFUTES', 'SUPPORTS']",30.109361171722412
76253,There is a movie called The Hunger Games.,SUPPORTS,"[[[93100, 106004, 'The_Hunger_Games_-LRB-film-RRB-', 0]], [[93100, 106005, 'The_Hunger_Games_-LRB-film-RRB-', 1]], [[93100, 106006, 'The_Hunger_Games_-LRB-film-RRB-', 2]], [[93100, 106007, 'The_Hunger_Games_-LRB-film-RRB-', 16]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",30.134706020355225
188923,Ryan Gosling has been to a country in Africa.,SUPPORTS,"[[[220565, 226318, 'Ryan_Gosling', 17], [220565, 226318, 'Chad', 0]]]",NOT ENOUGH INFO,"['NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'SUPPORTS', 'NOT ENOUGH INFO']",33.21116375923157
138503,"Stranger Things is set in Bloomington, Indiana.",REFUTES,"[[[161295, 175782, 'Stranger_Things', 5]]]",REFUTES,"['REFUTES', 'REFUTES', 'REFUTES', 'REFUTES', 'NOT ENOUGH INFO']",31.320492029190063
129983,Ryan Seacrest is a person.,SUPPORTS,"[[[152194, 166969, 'Ryan_Seacrest', 0]], [[152194, 166970, 'Ryan_Seacrest', 1]], [[152194, 166971, 'Ryan_Seacrest', 2]], [[152194, 166972, 'Ryan_Seacrest', 5]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",27.255269050598145
73170,Puerto Rico is not an unincorporated territory of the United States.,REFUTES,"[[[89957, 102650, 'Puerto_Rico', 0]]]",REFUTES,"['REFUTES', 'REFUTES', 'REFUTES', 'REFUTES', 'REFUTES']",39.90314769744873
179616,Michael Giacchino composed the score for Doctor Strange.,SUPPORTS,"[[[208457, 216486, 'Michael_Giacchino', 1]]]",UNKNOWN,"['UNKNOWN', 'REFUTES', 'SUPPORTS', 'UNKNOWN', 'REFUTES']",35.701584339141846
207456,Stranger than Fiction is a film.,SUPPORTS,"[[[245342, 246172, 'Stranger_than_Fiction_-LRB-2006_film-RRB-', 0]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",26.219161987304688
3,Chris Hemsworth appeared in A Perfect Getaway.,SUPPORTS,"[[[15732, 19585, 'Chris_Hemsworth', 2]]]",REFUTES,"['REFUTES', 'REFUTES', 'REFUTES', 'REFUTES', 'REFUTES']",30.815394639968872
93956,Selena recorded music.,SUPPORTS,"[[[275618, 270725, 'Selena', 8]], [[275618, 270726, 'Selena', 0]], [[275618, 270727, 'Selena', 2]], [[275618, 270728, 'Selena', 4]], [[277400, 272314, 'Selena', 8]], [[277400, 272315, 'Selena', 21]], [[277903, 272835, 'Selena', 0]], [[277903, 272836, 'Selena', 9]], [[277903, 272837, 'Selena', 10]], [[277903, 272838, 'Selena', 11]], [[277903, 272839, 'Selena', 14]], [[277903, 272840, 'Selena', 16]], [[277903, 272841, 'Selena', 18]], [[277903, 272842, 'Selena', 19]], [[277903, 272843, 'Selena', 21]], [[277903, 272844, 'Selena', 32]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",29.050866842269897
138117,John Wick: Chapter 2 was theatrically released in the Oregon.,NOT ENOUGH INFO,"[[[160895, None, None, None]]]",NOT ENOUGH INFO,"['SUPPORTS', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO']",34.47931981086731
53133,"Robert J. O'Neill was born April 10, 1976.",SUPPORTS,"[[[69411, 80212, ""Robert_J._O'Neill_-LRB-U.S._Navy_SEAL-RRB-"", 0]]]",NOT ENOUGH INFO,"['NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO']",28.645249605178833
210010,Afghanistan is the source of the Kushan dynasty.,NOT ENOUGH INFO,"[[[248748, None, None, None]]]",NOT ENOUGH INFO,"['NOT ENOUGH INFO', 'SUPPORTS', 'SUPPORTS', 'NOT ENOUGH INFO', 'REFUTES']",36.14520335197449
134381,Marilyn Monroe worked with Warner Brothers.,NOT ENOUGH INFO,"[[[156940, None, None, None]]]",NOT ENOUGH INFO,"['NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'REFUTES', 'NOT ENOUGH INFO', 'SUPPORTS']",34.580525398254395
228271,The Silence of the Lambs was a film starring Scott Glenn.,SUPPORTS,"[[[272337, 268022, 'The_Silence_of_the_Lambs_-LRB-film-RRB-', 0]], [[272346, 268030, 'The_Silence_of_the_Lambs_-LRB-film-RRB-', 0]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'NOT ENOUGH INFO', 'REFUTES', 'SUPPORTS']",31.494351625442505
15812,Peggy Sue Got Married is a Egyptian film released in 1986.,REFUTES,"[[[31205, 37902, 'Peggy_Sue_Got_Married', 0], [31205, 37902, 'Francis_Ford_Coppola', 0]], [[31211, 37908, 'Peggy_Sue_Got_Married', 0]]]",REFUTES,"['REFUTES', 'REFUTES', 'REFUTES', 'REFUTES', 'REFUTES']",25.05232882499695
57330,Andy Roddick lost 5 Master Series between 2002 and 2010.,REFUTES,"[[[73660, 84912, 'Andy_Roddick', 7]]]",NOT ENOUGH INFO,"['REFUTES', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO']",43.12499690055847
52432,"As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace.",REFUTES,"[[[68739, 79581, 'Bed-In', 0]]]",REFUTES,"['REFUTES', 'REFUTES', 'REFUTES', 'REFUTES', 'REFUTES']",35.26596760749817
214706,Tupac Shakur was born Lesane Parish Crooks.,SUPPORTS,"[[[254927, 254471, 'Tupac_Shakur', 0]], [[254931, 254481, 'Tupac_Shakur', 0]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'REFUTES', 'SUPPORTS', 'SUPPORTS']",29.11980390548706
228761,Harold Ramis was a veteran.,NOT ENOUGH INFO,"[[[272943, None, None, None]]]",NOT ENOUGH INFO,"['NOT ENOUGH INFO', 'REFUTES', 'NOT ENOUGH INFO', 'REFUTES', 'SUPPORTS']",29.64846920967102
172270,"The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth.",SUPPORTS,"[[[198826, 208539, 'The_Jim_Henson_Company', 5]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",33.07151961326599
85441,United Nations was relocated to the United States in 1945.,NOT ENOUGH INFO,"[[[102619, None, None, None]]]",REFUTES,"['REFUTES', 'REFUTES', 'REFUTES', 'REFUTES', 'NOT ENOUGH INFO']",32.28078651428223
65960,Whoopi Goldberg co-produced an American dance tournament.,NOT ENOUGH INFO,"[[[82524, None, None, None]]]",NOT ENOUGH INFO,"['SUPPORTS', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO']",33.454904556274414
64557,Slovenia uses the euro.,SUPPORTS,"[[[80998, 92847, 'Slovenia', 29], [80998, 92847, 'Eurozone', 0]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",25.817258834838867
200996,Iowa is a part of the Midwestern United States.,SUPPORTS,"[[[236500, 238958, 'Midwestern_United_States', 4]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'NOT ENOUGH INFO', 'SUPPORTS']",27.88947057723999
56204,Keith Urban is a person who sings.,NOT ENOUGH INFO,"[[[176603, None, None, None], [178904, None, None, None], [313935, None, None, None]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",24.497206449508667
190922,Hotell is owned by Lisa Langseth.,NOT ENOUGH INFO,"[[[223143, None, None, None]]]",NOT ENOUGH INFO,"['NOT ENOUGH INFO', 'SUPPORTS', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'REFUTES']",24.731619596481323
206132,Saratoga is an American film from 1937.,SUPPORTS,"[[[243729, 244902, 'Saratoga_-LRB-film-RRB-', 0]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",27.64380955696106
215831,J. Howard Marshall was a baby.,SUPPORTS,"[[[256426, 255641, 'J._Howard_Marshall', 0], [256426, 255641, 'Infant', 0]]]",REFUTES,"['REFUTES', 'REFUTES', 'REFUTES', 'REFUTES', 'REFUTES']",26.823294639587402
180769,Grace Jones is a dancer.,REFUTES,"[[[209812, 217612, 'Grace_Jones', 0]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",31.987127780914307
170685,Lisbon has a population larger than 1.,SUPPORTS,"[[[196930, 206999, 'Lisbon', 0]], [[196930, 207000, 'Lisbon', 2]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",25.736459493637085
111602,Willie Nelson dropped out of college after three years.,REFUTES,"[[[131008, 145780, 'Willie_Nelson', 9]]]",REFUTES,"['NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'REFUTES', 'REFUTES', 'REFUTES']",28.61989712715149
119264,Malcolm Young was the co-founder of Australian hard rock band AC/DC.,SUPPORTS,"[[[140181, 155183, 'Malcolm_Young', 0]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",27.61500883102417
106718,Nice & Slow is a jazz single.,NOT ENOUGH INFO,"[[[279608, None, None, None], [281329, None, None, None], [283497, None, None, None], [327984, None, None, None], [327990, None, None, None]]]",REFUTES,"['NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'REFUTES', 'REFUTES', 'REFUTES']",34.859073638916016
77712,Newfoundland and Labrador is the most linguistically homogeneous of Canada.,SUPPORTS,"[[[94661, 107645, 'Newfoundland_and_Labrador', 4]]]",NOT ENOUGH INFO,"['NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO']",36.49145150184631
184132,Furia is adapted from a short story by Anna Politkovskaya.,REFUTES,"[[[214362, 221432, 'Furia_-LRB-film-RRB-', 0]]]",NOT ENOUGH INFO,"['NOT ENOUGH INFO', 'SUPPORTS', 'NOT ENOUGH INFO', 'NOT ENOUGH INFO', 'REFUTES']",33.48873472213745
74400,One state of the United States has Russia to its west.,SUPPORTS,"[[[91175, 103890, 'United_States', 3]]]",REFUTES,"['REFUTES', 'NOT ENOUGH INFO', 'REFUTES', 'REFUTES', 'NOT ENOUGH INFO']",28.258347988128662
91253,Sophie Turner was born in the 1990s.,SUPPORTS,"[[[108589, 122194, 'Sophie_Turner', 0]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",24.833096742630005
53316,Mother Teresa was made a saint by the church.,SUPPORTS,"[[[69596, 80416, 'Mother_Teresa', 11]]]",SUPPORTS,"['SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS', 'SUPPORTS']",31.325286865234375
